,PassengerId,Gender,Age,Fare
128,1020,55,0.55,0.03
129,1021,30,0.31,0.02
130,1022,40,0.42,0.02
131,1023,65,0.7,0.06
132,1024,34,0.35,0.05
133,1025,34,0.35,0.01
134,1026,56,0.56,0.02
135,1027,30,0.31,0.02
136,1028,33,0.35,0.01
137,1029,32,0.34,0.03
138,1030,29,0.3,0.02
139,1031,52,0.53,0.09
140,1032,13,0.13,0.09
141,1033,42,0.43,0.3
142,1034,73,0.8,0.51
143,1035,35,0.37,0.05
144,1036,55,0.55,0.05
145,1037,39,0.41,0.04
146,1038,34,0.35,0.1
147,1039,27,0.29,0.02
148,1040,34,0.35,0.05
149,1041,38,0.39,0.05
150,1042,29,0.3,0.16
151,1043,34,0.35,0.02
152,1044,72,0.8,0.07
153,1045,46,0.47,0.02
154,1046,16,0.17,0.06
155,1047,30,0.31,0.01
156,1048,37,0.38,0.43
157,1049,29,0.3,0.02
158,1050,55,0.55,0.05
159,1051,32,0.34,0.03
160,1052,34,0.35,0.02
161,1053,10,0.09,0.03
162,1054,32,0.34,0.03
163,1055,34,0.35,0.01
164,1056,54,0.54,0.03
165,1057,32,0.34,0.04
166,1058,61,0.63,0.1
167,1059,22,0.24,0.07
168,1060,34,0.35,0.05
169,1061,27,0.29,0.02
170,1062,34,0.35,0.01
171,1063,34,0.35,0.01
172,1064,29,0.3,0.03
173,1065,34,0.35,0.01
174,1066,52,0.53,0.06
175,1067,19,0.2,0.08
176,1068,25,0.26,0.07
177,1069,66,0.71,0.11
178,1070,46,0.47,0.08
179,1071,76,0.84,0.16
180,1072,38,0.39,0.03
181,1073,48,0.49,0.16
182,1074,22,0.24,0.1
183,1075,34,0.35,0.02
184,1076,34,0.35,0.48
185,1077,52,0.53,0.03
186,1078,26,0.27,0.04
187,1079,21,0.22,0.02
188,1080,34,0.35,0.14
189,1081,52,0.53,0.03
190,1082,43,0.45,0.05
191,1083,34,0.35,0.05
192,1084,14,0.15,0.03
193,1085,73,0.8,0.02
194,1086,11,0.1,0.06
195,1087,42,0.43,0.02
196,1088,9,0.08,0.26
197,1089,22,0.24,0.02
198,1090,29,0.3,0.02
199,1091,34,0.35,0.02
200,1092,34,0.35,0.03
201,1093,1,0.0,0.03
202,1094,60,0.62,0.44
203,1095,11,0.1,0.05
204,1096,31,0.33,0.02
205,1097,34,0.35,0.05
206,1098,45,0.46,0.02
207,1099,30,0.31,0.02
208,1100,42,0.43,0.05
209,1101,31,0.33,0.02
210,1102,40,0.42,0.04
211,1103,34,0.35,0.01
212,1104,21,0.22,0.14
213,1105,71,0.79,0.05
214,1106,49,0.5,0.02
215,1107,55,0.55,0.08
216,1108,34,0.35,0.02
217,1109,68,0.75,0.32
218,1110,63,0.66,0.41
219,1111,34,0.35,0.02
220,1112,38,0.39,0.03
221,1113,26,0.27,0.02
222,1114,27,0.29,0.02
223,1115,26,0.27,0.02
224,1116,65,0.7,0.05
225,1117,34,0.35,0.03
226,1118,29,0.3,0.02
227,1119,34,0.35,0.02
228,1120,53,0.53,0.03
229,1121,46,0.47,0.03
230,1122,17,0.18,0.13
231,1123,26,0.27,0.05
232,1124,26,0.27,0.01
233,1125,34,0.35,0.02
234,1126,51,0.51,0.14
235,1127,25,0.26,0.02
236,1128,76,0.84,0.15
237,1129,25,0.26,0.01
238,1130,22,0.24,0.03
239,1131,61,0.63,0.21
240,1132,67,0.72,0.05
241,1133,58,0.59,0.06
242,1134,58,0.59,0.26
243,1135,34,0.35,0.02
244,1136,34,0.35,0.05
245,1137,54,0.54,0.1
246,1138,27,0.29,0.04
247,1139,55,0.55,0.06
248,1140,37,0.38,0.05
249,1141,34,0.35,0.03
250,1142,4,0.01,0.05
251,1143,25,0.26,0.02
252,1144,34,0.35,0.27
253,1145,30,0.31,0.02
254,1146,41,0.43,0.02
255,1147,34,0.35,0.01
256,1148,34,0.35,0.02
257,1149,35,0.37,0.02
258,1150,24,0.25,0.03
259,1151,26,0.27,0.02
260,1152,47,0.48,0.03
261,1153,26,0.27,0.02
262,1154,37,0.38,0.04
263,1155,5,0.01,0.02
264,1156,38,0.39,0.02
265,1157,34,0.35,0.02
266,1158,34,0.35,0.0
267,1159,34,0.35,0.01
268,1160,34,0.35,0.02
269,1161,21,0.22,0.02
270,1162,59,0.6,0.15
271,1163,34,0.35,0.02
272,1164,32,0.34,0.27
273,1165,34,0.35,0.03
274,1166,34,0.35,0.01
275,1167,25,0.26,0.05
276,1168,35,0.37,0.02
277,1169,52,0.53,0.05
278,1170,38,0.39,0.04
279,1171,27,0.29,0.02
280,1172,29,0.3,0.02
281,1173,2,0.01,0.03
282,1174,34,0.35,0.02
283,1175,12,0.12,0.03
284,1176,6,0.02,0.04
285,1177,46,0.47,0.01
286,1178,34,0.35,0.01
287,1179,30,0.31,0.16
288,1180,34,0.35,0.01
289,1181,34,0.35,0.02
290,1182,34,0.35,0.08
291,1183,38,0.39,0.01
292,1184,34,0.35,0.01
293,1185,65,0.7,0.16
294,1186,46,0.47,0.02
295,1187,32,0.34,0.02
296,1188,5,0.01,0.08
297,1189,34,0.35,0.04
298,1190,38,0.39,0.09
299,1191,37,0.38,0.02
300,1192,40,0.42,0.02
301,1193,34,0.35,0.03
302,1194,56,0.56,0.04
303,1195,30,0.31,0.02
304,1196,34,0.35,0.02
305,1197,76,0.84,0.05
306,1198,38,0.39,0.3
307,1199,3,0.01,0.02
308,1200,67,0.72,0.18
309,1201,58,0.59,0.03
310,1202,22,0.24,0.02
311,1203,27,0.29,0.01
312,1204,34,0.35,0.01
313,1205,48,0.49,0.02
314,1206,67,0.72,0.26
315,1207,21,0.22,0.02
316,1208,68,0.75,0.29
317,1209,24,0.25,0.02
318,1210,34,0.35,0.02
319,1211,27,0.29,0.06
320,1212,32,0.34,0.02
321,1213,31,0.33,0.01
322,1214,32,0.34,0.03
323,1215,42,0.43,0.05
324,1216,51,0.51,0.41
325,1217,29,0.3,0.01
326,1218,15,0.16,0.08
327,1219,59,0.6,0.15
328,1220,37,0.38,0.05
329,1221,26,0.27,0.03
330,1222,61,0.63,0.07
331,1223,51,0.51,0.06
332,1224,34,0.35,0.01
333,1225,24,0.25,0.03
334,1226,34,0.35,0.02
335,1227,38,0.39,0.05
336,1228,40,0.42,0.03
337,1229,51,0.51,0.01
338,1230,31,0.33,0.06
339,1231,34,0.35,0.01
340,1232,22,0.24,0.02
341,1233,40,0.42,0.01
342,1234,34,0.35,0.14
343,1235,69,0.76,1.0
344,1236,34,0.35,0.03
345,1237,20,0.21,0.01
346,1238,32,0.34,0.03
347,1239,49,0.5,0.01
348,1240,30,0.31,0.03
349,1241,39,0.41,0.04
350,1242,58,0.59,0.12
351,1243,31,0.33,0.02
352,1244,22,0.24,0.14
353,1245,62,0.64,0.13
354,1246,0,0.0,0.04
355,1247,63,0.66,0.05
356,1248,70,0.78,0.1
357,1249,34,0.35,0.02
358,1250,34,0.35,0.02
359,1251,38,0.39,0.03
360,1252,18,0.19,0.14
361,1253,30,0.31,0.07
362,1254,39,0.41,0.04
363,1255,34,0.35,0.02
364,1256,31,0.33,0.11
365,1257,34,0.35,0.14
366,1258,34,0.35,0.03
367,1259,27,0.29,0.08
368,1260,58,0.59,0.12
369,1261,37,0.38,0.03
370,1262,26,0.27,0.02
371,1263,39,0.41,0.26
372,1264,62,0.64,0.0
373,1265,57,0.58,0.03
374,1266,66,0.71,0.16
375,1267,58,0.59,0.51
376,1268,27,0.29,0.02
377,1269,26,0.27,0.02
378,1270,67,0.72,0.1
379,1271,8,0.06,0.06
380,1272,34,0.35,0.02
381,1273,32,0.34,0.02
382,1274,34,0.35,0.03
383,1275,24,0.25,0.03
384,1276,34,0.35,0.03
385,1277,30,0.31,0.13
386,1278,30,0.31,0.02
387,1279,68,0.75,0.03
388,1280,26,0.27,0.02
389,1281,9,0.08,0.04
390,1282,29,0.3,0.18
391,1283,64,0.67,0.08
392,1284,16,0.17,0.04
393,1285,60,0.62,0.02
394,1286,37,0.38,0.04
395,1287,22,0.24,0.12
396,1288,30,0.31,0.01
397,1289,61,0.63,0.15
398,1290,27,0.29,0.02
399,1291,39,0.41,0.02
400,1292,38,0.39,0.32
401,1293,49,0.5,0.04
402,1294,27,0.29,0.12
403,1295,21,0.22,0.09
404,1296,56,0.56,0.05
405,1297,25,0.26,0.03
406,1298,29,0.3,0.02
407,1299,63,0.66,0.41
408,1300,34,0.35,0.02
409,1301,7,0.04,0.03
410,1302,34,0.35,0.02
411,1303,48,0.49,0.18
412,1304,35,0.37,0.02
413,1305,34,0.35,0.02
414,1306,51,0.51,0.21
415,1307,50,0.51,0.01
416,1308,34,0.35,0.02
417,1309,34,0.35,0.04
